Description,SKSCodes_range,SKSCodes
"Sygdomme i mundhulen, spytkirtler og kæber [DK00-DK14]",DK00-DK14,"DK00, DK000, DK000A, DK001, DK002, DK002A, DK002B, DK002C, DK002D, DK002E, DK002G, DK003, DK003A, DK004, DK004A, DK004B, DK005, DK005A, DK005B, DK005C, DK006, DK006A, DK006B, DK006C, DK006D, DK007, DK007A, DK008, DK008A, DK008B, DK009, DK01, DK010, DK011, DK02, DK020, DK021, DK022, DK023, DK024, DK025, DK028, DK029, DK03, DK030, DK031, DK032, DK033, DK033A, DK033B, DK033C, DK034, DK035, DK036, DK036A, DK036B, DK036C, DK037, DK038, DK038A, DK038B, DK038C, DK039, DK04, DK040, DK040A, DK040B, DK041, DK041A, DK042, DK043, DK044, DK045, DK045A, DK045B, DK046, DK046A, DK046B, DK046C, DK046D, DK046E, DK047, DK047A, DK047B, DK048, DK048A, DK048B, DK048C, DK049, DK05, DK050, DK051, DK051A, DK051B, DK051C, DK051D, DK052, DK052A, DK052B, DK052C, DK053, DK053A, DK053B, DK054, DK054A, DK055, DK056, DK06, DK060, DK061, DK061A, DK061B, DK062, DK062A, DK062B, DK068, DK068A, DK068B, DK068C, DK068D, DK068E, DK068F, DK068G, DK068H, DK068I, DK068K, DK068L, DK069, DK07, DK070, DK070A, DK070B, DK070C, DK070D, DK071, DK071A, DK071B, DK071C, DK071D, DK071E, DK071F, DK072, DK072A, DK072B, DK072C, DK072D, DK072E, DK072F, DK072G, DK072H, DK072I, DK072J, DK072K, DK072L, DK073, DK073A, DK073B, DK073C, DK073D, DK073E, DK073F, DK074, DK075, DK075A, DK075B, DK075C, DK076, DK076A, DK076B, DK076C, DK076D, DK076E, DK076F, DK076M, DK078, DK079, DK08, DK080, DK081, DK081A, DK081B, DK081C, DK081D, DK082, DK083, DK083A, DK088, DK088A, DK088B, DK088C, DK089, DK089A, DK09, DK090, DK090A, DK090B, DK090C, DK090D, DK091, DK091A, DK091B, DK091C, DK091D, DK091E, DK091F, DK092, DK092A, DK092B, DK092C, DK092D, DK092E, DK092F, DK092G, DK092H, DK092I, DK098, DK098A, DK098B, DK098C, DK098D, DK098E, DK099, DK10, DK100, DK100A, DK100B, DK100C, DK100D, DK100E, DK100F, DK100G, DK101, DK101A, DK101B, DK102, DK102A, DK102B, DK102C, DK102D, DK102E, DK102F, DK102G, DK102H, DK102I, DK102J, DK103, DK103B, DK108, DK108A, DK108B, DK108C, DK108D, DK108E, DK108F, DK108G, DK108H, DK108I, DK108J, DK109, DK11, DK110, DK110A, DK111, DK111A, DK111B, DK111C, DK112, DK112A, DK112B, DK112C, DK112D, DK113, DK113A, DK113B, DK113C, DK113D, DK114, DK114A, DK115, DK115A, DK116, DK116A, DK116B, DK116C, DK117, DK117A, DK117B, DK117C, DK117D, DK118, DK118A, DK118B, DK118C, DK118E, DK118F, DK118G, DK118H, DK118I, DK118J, DK119, DK12, DK120, DK120A, DK120B, DK120C, DK120D, DK121, DK121A, DK121B, DK121C, DK122, DK122A, DK122B, DK13, DK130, DK130A, DK130B, DK130C, DK130D, DK130E, DK130F, DK130G, DK130H, DK130I, DK130J, DK131, DK131A, DK131B, DK132, DK132A, DK132B, DK132C, DK132D, DK132E, DK132F, DK132G, DK132H, DK132I, DK132J, DK132K, DK132M, DK132N, DK133, DK134, DK134A, DK134B, DK134C, DK134D, DK134E, DK135, DK135A, DK136, DK137, DK137A, DK137B, DK137C, DK137D, DK137E, DK137F, DK14, DK140, DK140A, DK140B, DK140C, DK140D, DK141, DK142, DK143, DK143A, DK144, DK144A, DK145, DK145A, DK145B, DK146, DK146A, DK148, DK148A, DK148B, DK148C, DK148D, DK148F, DK148G, DK149"
"Sygdomme i spiserøret, mavesækken og tolvfingertarmen [DK20-DK31]",DK20-DK31,"DK20, DK209, DK209A, DK209B, DK209C, DK209D, DK21, DK210, DK219, DK219A, DK219B, DK22, DK220, DK221, DK221A, DK221B, DK221C, DK221D, DK221E, DK221F, DK222, DK222A, DK222B, DK222C, DK223, DK223A, DK224, DK224A, DK225, DK225A, DK225B, DK226, DK227, DK228, DK228A, DK228B, DK228C, DK228D, DK228E, DK228F, DK228G, DK228H, DK228I, DK228K, DK229, DK23, DK230, DK231, DK238, DK25, DK250, DK250A, DK250B, DK250C, DK250D, DK250E, DK250F, DK251, DK251A, DK251B, DK251C, DK251D, DK251E, DK252, DK252A, DK252B, DK252C, DK252D, DK252E, DK253, DK253A, DK253B, DK253C, DK253D, DK253E, DK254, DK254A, DK254B, DK254C, DK254D, DK254E, DK254F, DK254G, DK254H, DK254I, DK254J, DK255, DK255A, DK255B, DK255C, DK255D, DK255E, DK255F, DK255G, DK255H, DK255I, DK255J, DK256, DK256A, DK256B, DK256C, DK256D, DK256E, DK256F, DK256G, DK256H, DK256I, DK256J, DK257, DK257A, DK257B, DK257C, DK257D, DK257E, DK259, DK259A, DK26, DK260, DK260A, DK261, DK261A, DK262, DK262A, DK263, DK263A, DK264, DK264A, DK264B, DK264C, DK264D, DK265, DK265A, DK265B, DK265C, DK265D, DK266, DK266A, DK266B, DK266C, DK266D, DK267, DK267A, DK269, DK27, DK270, DK271, DK272, DK273, DK274, DK275, DK276, DK277, DK279, DK28, DK280, DK280A, DK280B, DK281, DK281A, DK281C, DK282, DK282A, DK282C, DK283, DK283A, DK283C, DK284, DK284A, DK284B, DK284C, DK284D, DK285, DK285A, DK285B, DK285C, DK285D, DK286, DK286A, DK286B, DK286C, DK286D, DK287, DK287A, DK287B, DK289, DK29, DK290, DK291, DK292, DK293, DK294, DK295, DK296, DK296A, DK296B, DK297, DK298, DK298A, DK299, DK30, DK309, DK31, DK310, DK310A, DK311, DK311A, DK312, DK312A, DK312B, DK312C, DK313, DK314, DK314A, DK315, DK315A, DK315B, DK316, DK316A, DK316B, DK316C, DK316D, DK316E, DK317, DK318, DK318A, DK318B, DK318C, DK318D, DK318E, DK318F, DK318G, DK318H, DK318J, DK319"
Sygdomme i blindtarmen [DK35-DK38],DK35-DK38,"DK35, DK352, DK353, DK353A, DK353B, DK358, DK358A, DK358B, DK358C, DK36, DK369, DK37, DK379, DK38, DK380, DK381, DK381A, DK382, DK383, DK388, DK388A, DK388B, DK388C, DK388D, DK389"
Hernier [DK40-DK46],DK40-DK46,"DK40, DK400, DK401, DK402, DK402A, DK403, DK403A, DK403B, DK404, DK409, DK41, DK410, DK411, DK412, DK412A, DK413, DK413A, DK413B, DK414, DK419, DK42, DK420, DK420A, DK420B, DK421, DK429, DK43, DK430, DK431, DK432, DK433, DK434, DK435, DK435A, DK435B, DK435C, DK435D, DK436, DK436A, DK436B, DK437, DK439, DK44, DK440, DK440A, DK440B, DK441, DK449, DK45, DK450, DK450B, DK450C, DK450D, DK450E, DK450F, DK450G, DK450H, DK450I, DK450J, DK450K, DK450L, DK450M, DK451, DK451B, DK451C, DK451D, DK451E, DK451F, DK451G, DK451H, DK451I, DK451J, DK451K, DK451L, DK451M, DK458, DK458B, DK458C, DK458D, DK458E, DK458F, DK458G, DK458H, DK458I, DK458J, DK458K, DK458L, DK458M, DK46, DK460, DK460A, DK460B, DK461, DK469, DK469A"
Ikke-infektiøs tyndtarms- og tyktarmskatar [DK50-DK52],DK50-DK52,"DK50, DK500, DK500A, DK500B, DK500C, DK500D, DK501, DK501D, DK508, DK508A, DK508C, DK508D, DK509, DK51, DK510, DK512, DK513, DK514, DK515, DK515A, DK515B, DK518, DK518B, DK519, DK52, DK520, DK520A, DK520B, DK521, DK521A, DK521B, DK521C, DK522, DK522A, DK522C, DK522D, DK522E, DK522F, DK523, DK528, DK528A, DK528B, DK528C, DK528D, DK528D1, DK528D2, DK529, DK529A, DK529B, DK529B1, DK529C, DK529D, DK529E, DK529F, DK529G, DK529H"
Andre tarmsygdomme [DK55-DK64],DK55-DK64,"DK55, DK550, DK550A, DK550B, DK550C, DK550D, DK550E, DK550F, DK550H, DK551, DK551A, DK551B, DK551C, DK551D, DK551E, DK551F, DK552, DK558, DK558A, DK558B, DK558C, DK558D, DK559, DK56, DK560, DK560A, DK560B, DK561, DK561A, DK561B, DK561C, DK561D, DK562, DK562A, DK562B, DK562C, DK563, DK564, DK564A, DK564B, DK565, DK565A, DK565B, DK565C, DK565D, DK565E, DK566, DK566A, DK566B, DK566C, DK566D, DK566E, DK566F, DK566G, DK566H, DK567, DK57, DK570, DK570A, DK570B, DK570C, DK571, DK571A, DK571B, DK572, DK572A, DK572B, DK572C, DK573, DK573A, DK573B, DK573C, DK573D, DK573E, DK573F, DK574, DK574A, DK575, DK578, DK579, DK579A, DK58, DK580, DK589, DK59, DK590, DK590A, DK591, DK592, DK593, DK593B, DK593C, DK593D, DK594, DK594A, DK598, DK598A, DK598B, DK598C, DK598D, DK598E, DK599, DK60, DK600, DK601, DK602, DK603, DK603A, DK603B, DK603D, DK603E, DK603F, DK604, DK604A, DK605, DK61, DK610, DK610A, DK610B, DK611, DK611A, DK612, DK613, DK614, DK62, DK620, DK621, DK622, DK623, DK624, DK624A, DK624B, DK624C, DK624D, DK624E, DK625, DK625A, DK625B, DK626, DK626A, DK626B, DK626C, DK627, DK628, DK628A, DK628B, DK628C, DK628D, DK628E, DK628F, DK628G, DK628H, DK628I, DK628J, DK628K, DK628L, DK628M, DK628N, DK628P, DK628P1, DK628P1A, DK628P1B, DK628P1C, DK628P2, DK628P2A, DK628P2B, DK628P2C, DK629, DK63, DK630, DK631, DK631A, DK632, DK632A, DK632B, DK632C, DK632D, DK632F, DK632G, DK632H, DK632I, DK632J, DK633, DK634, DK634A, DK634B, DK634C, DK635, DK638, DK638A, DK638B, DK638C, DK638D, DK638E, DK638F, DK639, DK64, DK640, DK641, DK642, DK643, DK644, DK645, DK648, DK649"
Sygdomme i bughinde [DK65-DK67],DK65-DK67,"DK65, DK650, DK650A, DK650B, DK650C, DK650D, DK650E, DK650F, DK650G, DK650H, DK650I, DK650J, DK650K, DK650L, DK650M, DK650N, DK650O, DK650P, DK658, DK658A, DK658B, DK658C, DK658E, DK658F, DK658G, DK658H, DK658I, DK659, DK66, DK660, DK660A, DK660B, DK660C, DK660D, DK660E, DK660F, DK661, DK668, DK668A, DK668C, DK669, DK67, DK670, DK671, DK672, DK673, DK678"
Sygdomme i leveren [DK70-DK77],DK70-DK77,"DK70, DK700, DK701, DK702, DK703, DK703A, DK704, DK704A, DK704B, DK704C, DK704D, DK709, DK71, DK710, DK710A, DK711, DK711A, DK711B, DK711C, DK712, DK712A, DK713, DK713A, DK714, DK714A, DK715, DK715A, DK715B, DK715D, DK716, DK716A, DK717, DK717A, DK717B, DK718, DK719, DK72, DK720, DK720A, DK720C, DK720D, DK720E, DK720F, DK721, DK729, DK729A, DK73, DK730, DK731, DK732, DK732B, DK732C, DK732D, DK732E, DK732F, DK732G, DK738, DK739, DK74, DK740, DK740A, DK740B, DK741, DK742, DK743, DK743A, DK744, DK745, DK746, DK746B, DK746C, DK746D, DK746E, DK746F, DK746G, DK746H, DK75, DK750, DK750A, DK750B, DK750C, DK750D, DK751, DK752, DK753, DK754, DK754A, DK758, DK759, DK759A, DK76, DK760, DK760A, DK760B, DK760C, DK761, DK761A, DK761B, DK762, DK763, DK764, DK764A, DK765, DK766, DK766A, DK766B, DK767, DK768, DK768A, DK768B, DK768C, DK768D, DK768E, DK769, DK77, DK770, DK778"
"Sygdomme i galdeblære, galdeveje og bugspytkirtel [DK80-DK87]",DK80-DK87,"DK80, DK800, DK800A, DK800D, DK801, DK801A, DK801C, DK802, DK802A, DK802D, DK802E, DK802F, DK803, DK803A, DK803B, DK803C, DK804, DK804A, DK804B, DK804C, DK804D, DK804E, DK805, DK805B, DK805C, DK805E, DK805F, DK805J, DK805K, DK808, DK81, DK810, DK810A, DK810B, DK810C, DK810D, DK811, DK818, DK819, DK82, DK820, DK820A, DK821, DK822, DK823, DK823A, DK823B, DK824, DK828, DK828A, DK828B, DK828C, DK828D, DK828E, DK828F, DK828G, DK828H, DK828I, DK828J, DK828K, DK828L, DK828M, DK829, DK83, DK830, DK830A, DK830B, DK830C, DK830D, DK830E, DK830F, DK830G, DK831, DK831B, DK832, DK833, DK833A, DK833B, DK833C, DK834, DK835, DK838, DK838A, DK838B, DK838C, DK838D, DK838E, DK838F, DK839, DK85, DK850, DK851, DK851A, DK852, DK853, DK858, DK858A, DK858B, DK858C, DK858D, DK858E, DK858F, DK859, DK86, DK860, DK861, DK861A, DK861B, DK861D, DK861E, DK861F, DK862, DK863, DK868, DK868A, DK868B, DK868C, DK868D, DK868E, DK868F, DK868G, DK868H, DK868I, DK868J, DK868K, DK868L, DK868M, DK869, DK87, DK870, DK871"
Andre sygdomme i fordøjelsessystem [DK90-DK93],DK90-DK93,"DK90, DK900, DK900B, DK901, DK901A, DK901B, DK902, DK903, DK904, DK904D, DK904E, DK904F, DK908, DK908A, DK908B, DK909, DK91, DK910, DK911, DK911A, DK912, DK912B, DK912C, DK913, DK913A, DK913B, DK913C, DK914, DK914A, DK914B, DK914C, DK914D, DK915, DK918, DK918A, DK918B, DK919, DK92, DK920, DK921, DK922, DK928, DK929, DK93, DK930, DK931, DK938"
Infektioner i hud og underhud [DL00-DL08],DL00-DL08,"DL00, DL009, DL009A, DL009B, DL009C, DL01, DL010, DL010A, DL010B, DL010C, DL011, DL02, DL020, DL020A, DL020B, DL020C, DL021, DL021A, DL021B, DL021C, DL022, DL022A, DL022B, DL022C, DL022D, DL022E, DL022F, DL022G, DL022H, DL022I, DL022J, DL022K, DL022L, DL022M, DL022N, DL022O, DL022P, DL022Q, DL022R, DL022S, DL022T, DL023, DL023A, DL023B, DL023C, DL024, DL024A, DL024B, DL024C, DL024D, DL024E, DL024F, DL024G, DL024H, DL024I, DL024J, DL024K, DL024L, DL024M, DL028, DL028A, DL028B, DL028C, DL029, DL029A, DL029B, DL029C, DL03, DL030, DL030A, DL030B, DL030C, DL030D, DL030E, DL030F, DL030G, DL030H, DL030I, DL030J, DL030K, DL031, DL031A, DL031B, DL031C, DL031D, DL031E, DL031F, DL031G, DL031H, DL031I, DL032, DL033, DL033A, DL033B, DL033C, DL033D, DL033E, DL033F, DL038, DL038A, DL038B, DL039, DL04, DL040, DL040A, DL040B, DL040C, DL041, DL042, DL042A, DL043, DL048, DL049, DL05, DL050, DL059, DL08, DL080, DL080A, DL080B, DL080C, DL081, DL088, DL088C, DL088D, DL089"
Blæreudslæt [DL10-DL14],DL10-DL14,"DL10, DL100, DL101, DL102, DL103, DL104, DL105, DL108, DL108A, DL109, DL11, DL110, DL111, DL118, DL119, DL12, DL120, DL121, DL121A, DL122, DL122A, DL123, DL128, DL129, DL13, DL130, DL131, DL138, DL138A, DL138B, DL138C, DL139, DL14, DL149"
Dermatitis og eksem [DL20-DL30],DL20-DL30,"DL20, DL200, DL208, DL208B, DL208C, DL208D, DL209, DL21, DL210, DL210B, DL210C, DL210D, DL210E, DL211, DL211A, DL218, DL218A, DL218B, DL218D, DL218E, DL218F, DL219, DL22, DL229, DL229B, DL23, DL230, DL230A, DL230B, DL230C, DL230D, DL230E, DL231, DL231A, DL232, DL232A, DL232B, DL232C, DL232D, DL232E, DL233, DL233A, DL234, DL234A, DL235, DL235A, DL235B, DL235C, DL235D, DL235E, DL235F, DL235G, DL235H, DL235I, DL236, DL236A, DL237, DL237A, DL238, DL238A, DL238B, DL238C, DL239, DL239A, DL24, DL240, DL240A, DL241, DL241A, DL242, DL242A, DL243, DL243A, DL244, DL244A, DL245, DL245A, DL245B, DL245C, DL245D, DL245E, DL246, DL246A, DL247, DL247A, DL248, DL248A, DL249, DL249A, DL25, DL250, DL251, DL252, DL253, DL253A, DL253B, DL254, DL255, DL258, DL259, DL259A, DL26, DL269, DL269B, DL27, DL270, DL270A, DL270B, DL271, DL271A, DL271B, DL271C, DL272, DL278, DL278A, DL278B, DL279, DL28, DL280, DL280A, DL280B, DL280C, DL281, DL282, DL282A, DL282B, DL282C, DL282D, DL29, DL290, DL291, DL292, DL293, DL298, DL298A, DL298B, DL298C, DL298D, DL299, DL30, DL300, DL301, DL301A, DL301B, DL301C, DL302, DL302A, DL303, DL304, DL305, DL305A, DL308, DL308A, DL308B, DL308D, DL308F, DL308G, DL308H, DL308I, DL309"
Papuloskvamøse sygdomme [DL40-DL45],DL40-DL45,"DL40, DL400, DL400B, DL400C, DL400D, DL401, DL401B, DL402, DL402B, DL403, DL403A, DL403B, DL404, DL405, DL408, DL408A, DL408B, DL408C, DL408D, DL408E, DL409, DL41, DL410, DL411, DL413, DL414, DL415, DL418, DL418A, DL419, DL42, DL429, DL429A, DL429B, DL43, DL430, DL431, DL432, DL433, DL438, DL438A, DL438B, DL438C, DL438D, DL438E, DL439, DL44, DL440, DL441, DL442, DL443, DL444, DL444A, DL448, DL448A, DL448B, DL448C, DL448D, DL449, DL45, DL459"
Nældefeber og erytem [DL50-DL54],DL50-DL54,"DL50, DL500, DL501, DL502, DL502A, DL502B, DL503, DL504, DL505, DL506, DL506A, DL508, DL508A, DL508B, DL508C, DL508D, DL508E, DL509, DL51, DL510, DL511, DL511A, DL512, DL518, DL518A, DL519, DL52, DL529, DL53, DL530, DL531, DL532, DL533, DL538, DL538A, DL538B, DL538C, DL539, DL539A, DL539B, DL54, DL540, DL548"
Sygdomme i hud og underhud forårsaget af stråling [DL55-DL59],DL55-DL59,"DL55, DL550, DL551, DL552, DL558, DL559, DL56, DL560, DL561, DL562, DL562B, DL562C, DL562D, DL563, DL564, DL568, DL568A, DL568B, DL568C, DL569, DL57, DL570, DL570A, DL570B, DL570C, DL571, DL572, DL573, DL574, DL574B, DL575, DL578, DL578A, DL578B, DL578C, DL579, DL58, DL580, DL581, DL589, DL59, DL590, DL598, DL598A, DL599"
"Sygdomme i hår, negle og hudkirtler [DL60-DL75]",DL60-DL75,"DL60, DL600, DL601, DL602, DL603, DL603A, DL603B, DL604, DL605, DL608, DL608A, DL608B, DL608C, DL608D, DL608E, DL608F, DL608G, DL608H, DL608I, DL609, DL62, DL620, DL628, DL628A, DL63, DL630, DL631, DL632, DL638, DL638A, DL639, DL64, DL640, DL648, DL649, DL65, DL650, DL651, DL652, DL658, DL658B, DL658C, DL659, DL66, DL660, DL661, DL662, DL663, DL664, DL668, DL668A, DL669, DL67, DL670, DL671, DL671A, DL671B, DL671C, DL671D, DL678, DL678A, DL678B, DL678C, DL678D, DL679, DL68, DL680, DL681, DL682, DL683, DL688, DL689, DL70, DL700, DL701, DL702, DL702A, DL703, DL704, DL705, DL708, DL708A, DL708B, DL708C, DL708D, DL708E, DL708F, DL708G, DL708H, DL708I, DL709, DL71, DL710, DL711, DL718, DL718A, DL718B, DL718D, DL718E, DL719, DL72, DL720, DL721, DL721A, DL721B, DL722, DL728, DL729, DL73, DL730, DL731, DL732, DL738, DL738A, DL738B, DL738C, DL738D, DL738E, DL738F, DL738G, DL738H, DL739, DL74, DL740, DL741, DL742, DL742A, DL743, DL743A, DL743B, DL744, DL744A, DL748, DL748A, DL749, DL75, DL750, DL751, DL752, DL752A, DL758, DL759"
Andre sygdomme i hud og underhud [DL80-DL99],DL80-DL99,"DL80, DL809, DL81, DL810, DL811, DL811A, DL812, DL813, DL814, DL814A, DL814B, DL814C, DL814D, DL814E, DL814EA, DL814EB, DL814EC, DL814F, DL814G, DL815, DL815A, DL816, DL816A, DL816B, DL816C, DL817, DL817A, DL817B, DL817C, DL817E, DL817F, DL817G, DL818, DL818B, DL818D, DL818E, DL818G, DL818H, DL818I, DL818M, DL819, DL82, DL829, DL829A, DL829B, DL83, DL839, DL839A, DL839B, DL839C, DL839D, DL84, DL849, DL849A, DL849B, DL85, DL850, DL851, DL852, DL853, DL853A, DL858, DL858A, DL858B, DL858C, DL858D, DL858E, DL858F, DL858G, DL858H, DL858I, DL858J, DL858K, DL858L, DL858M, DL858N, DL858O, DL858P, DL858Q, DL859, DL86, DL869, DL87, DL870, DL871, DL872, DL878, DL878A, DL879, DL88, DL889, DL889C, DL89, DL890, DL890A, DL891, DL891A, DL892, DL892A, DL893, DL893A, DL899, DL90, DL900, DL900A, DL900B, DL901, DL902, DL903, DL904, DL905, DL905A, DL905B, DL905C, DL905D, DL906, DL906A, DL906B, DL906C, DL908, DL908B, DL908C, DL908D, DL908E, DL908F, DL908G, DL908H, DL908I, DL908J, DL908K, DL909, DL91, DL910, DL910A, DL918, DL918A, DL918B, DL919, DL92, DL920, DL920A, DL920B, DL920C, DL921, DL921A, DL922, DL923, DL923A, DL923B, DL928, DL928A, DL928B, DL928C, DL928D, DL928E, DL928F, DL928G, DL929, DL929A, DL929B, DL93, DL930, DL930A, DL931, DL932, DL932A, DL932B, DL932C, DL94, DL940, DL940B, DL941, DL942, DL942B, DL943, DL944, DL945, DL946, DL948, DL949, DL95, DL950, DL950A, DL951, DL958, DL958A, DL958B, DL959, DL97, DL979, DL979A, DL979B, DL979C, DL979E, DL98, DL980, DL981, DL981A, DL981B, DL982, DL983, DL984, DL984A, DL984B, DL984C, DL984D, DL984E, DL985, DL985A, DL985B, DL985C, DL985D, DL985E, DL985F, DL985G, DL985H, DL986, DL987, DL987A, DL987B, DL988, DL988A, DL988B, DL988D, DL988E, DL989, DL99, DL990, DL990A, DL990B, DL990C, DL998, DL998A, DL998B"
"Infektiøse, reaktive og postinfektiøse artritter [DM00-DM03]",DM00-DM03,"DM00, DM000, DM000A, DM000B, DM001, DM001A, DM001B, DM002, DM002A, DM002B, DM008, DM009, DM01, DM010, DM011, DM012, DM013, DM014, DM015, DM016, DM018, DM02, DM020, DM021, DM022, DM023, DM028, DM029, DM03, DM030, DM031, DM031A, DM032, DM032A, DM032B, DM036"
Inflammatoriske polyartritter [DM05-DM14],DM05-DM14,"DM05, DM050, DM051, DM051A, DM051B, DM051C, DM051D, DM051E, DM051F, DM052, DM053, DM058, DM059, DM06, DM060, DM061, DM062, DM063, DM064, DM068, DM069, DM07, DM070, DM071, DM072, DM073, DM073A, DM073B, DM074, DM075, DM076, DM08, DM080, DM080A, DM080B, DM081, DM082, DM082A, DM082B, DM083, DM084, DM088, DM088A, DM089, DM09, DM090, DM091, DM092, DM098, DM10, DM100, DM100A, DM100B, DM100C, DM100D, DM101, DM102, DM103, DM104, DM109, DM11, DM110, DM111, DM112, DM112A, DM118, DM119, DM12, DM120, DM121, DM122, DM123, DM124, DM125, DM128, DM128A, DM13, DM130, DM131, DM131A, DM138, DM138A, DM139, DM14, DM140, DM141, DM142, DM143, DM144, DM145, DM146, DM148"
Slidgigt [DM15-DM19],DM15-DM19,"DM15, DM150, DM151, DM152, DM153, DM153A, DM154, DM158, DM159, DM16, DM160, DM161, DM161A, DM162, DM163, DM163A, DM164, DM165, DM165A, DM166, DM167, DM167A, DM169, DM17, DM170, DM171, DM171B, DM172, DM173, DM173A, DM174, DM175, DM175A, DM179, DM18, DM180, DM181, DM181A, DM182, DM183, DM183A, DM184, DM185, DM185A, DM189, DM19, DM190, DM190A, DM191, DM191A, DM192, DM192A, DM198, DM198A, DM199"
Andre ledsygdomme [DM20-DM25],DM20-DM25,"DM20, DM200, DM200A, DM200B, DM200C, DM200E, DM200F, DM201, DM201A, DM202, DM203, DM203A, DM203B, DM203C, DM204, DM205, DM205A, DM205B, DM205C, DM205E, DM206, DM21, DM210, DM211, DM212, DM213, DM214, DM215, DM215A, DM215D, DM215E, DM215F, DM215G, DM216, DM216H, DM216I, DM216J, DM216K, DM216L, DM216M, DM216N, DM216O, DM216P, DM217, DM218, DM218A, DM218B, DM218C, DM218D, DM218E, DM218F, DM218G, DM218H, DM218J, DM219, DM22, DM220, DM221, DM222, DM222A, DM223, DM224, DM228, DM228A, DM229, DM23, DM230, DM231, DM232, DM233, DM233A, DM233B, DM234, DM235, DM236, DM236A, DM236B, DM236C, DM236D, DM238, DM238A, DM238B, DM239, DM24, DM240, DM241, DM242, DM242A, DM242B, DM243, DM243A, DM243B, DM244, DM244A, DM244B, DM244C, DM244D, DM244E, DM244E1, DM244E2, DM245, DM246, DM246A, DM246B, DM246C, DM246D, DM246E, DM246F, DM246G, DM246H, DM246I, DM246J, DM246K, DM246L, DM246M, DM246N, DM246O, DM247, DM248, DM248A, DM249, DM25, DM250, DM251, DM252, DM253, DM254, DM255, DM256, DM256A, DM257, DM258, DM258B, DM259"
Generaliserede bindevævssygdomme [DM30-DM36],DM30-DM36,"DM30, DM300, DM301, DM301A, DM302, DM303, DM308, DM308A, DM31, DM310, DM310A, DM310B, DM311, DM311A, DM311B, DM312, DM313, DM313A, DM314, DM315, DM315A, DM316, DM316A, DM317, DM318, DM318A, DM319, DM32, DM320, DM321, DM328, DM329, DM33, DM330, DM331, DM332, DM339, DM34, DM340, DM341, DM342, DM342A, DM342B, DM348, DM348B, DM349, DM35, DM350, DM350A, DM350B, DM350C, DM350D, DM350E, DM351, DM351A, DM351B, DM352, DM353, DM354, DM355, DM356, DM357, DM358, DM359, DM36, DM360, DM361, DM362, DM363, DM364, DM368"
Deformerende rygsygdomme [DM40-DM43],DM40-DM43,"DM40, DM400, DM401, DM401A, DM402, DM402A, DM403, DM404, DM404A, DM404B, DM404C, DM405, DM41, DM410, DM410A, DM411, DM411A, DM412, DM413, DM413A, DM414, DM414A, DM414B, DM414C, DM414D, DM414E, DM414F, DM415, DM415A, DM415B, DM418, DM419, DM42, DM420, DM421, DM429, DM43, DM430, DM431, DM432, DM432A, DM433, DM434, DM434A, DM435, DM436, DM438, DM439"
Spondylopatier [DM45-DM49],DM45-DM49,"DM45, DM459, DM46, DM460, DM461, DM462, DM463, DM463A, DM464, DM465, DM465A, DM468, DM468A, DM469, DM47, DM470, DM470A, DM471, DM471A, DM471B, DM471C, DM472, DM472A, DM472B, DM478, DM478A, DM478B, DM478C, DM478D, DM478E, DM479, DM48, DM480, DM481, DM481A, DM482, DM483, DM484, DM485, DM485A, DM488, DM488A, DM489, DM49, DM490, DM491, DM492, DM493, DM494, DM495, DM498"
Andre ryglidelser [DM50-DM54],DM50-DM54,"DM50, DM500, DM500A, DM500B, DM500C, DM500D, DM500E, DM500F, DM501, DM501A, DM501B, DM501C, DM501D, DM501E, DM501F, DM502, DM503, DM508, DM509, DM51, DM510, DM510A, DM510G, DM511, DM511A, DM511B, DM511C, DM511D, DM511E, DM511F, DM511H, DM511I, DM512, DM512A, DM512B, DM512C, DM512D, DM512E, DM512F, DM512G, DM513, DM513A, DM513B, DM513C, DM514, DM518, DM519, DM53, DM530, DM530A, DM531, DM532, DM532A, DM533, DM533A, DM533B, DM538, DM539, DM54, DM540, DM540A, DM540B, DM541, DM541A, DM541B, DM541C, DM541D, DM542, DM543, DM544, DM545, DM546, DM548, DM549"
Sygdomme i muskler [DM60-DM63],DM60-DM63,"DM60, DM600, DM600A, DM601, DM602, DM608, DM608A, DM608A1, DM609, DM61, DM610, DM611, DM612, DM613, DM614, DM615, DM619, DM62, DM620, DM620A, DM621, DM621A, DM622, DM622A, DM623, DM624, DM625, DM625A, DM626, DM626A, DM628, DM628A, DM628B, DM629, DM63, DM630, DM631, DM632, DM633, DM638"
Sygdomme i ledkapselhinder og sener [DM65-DM68],DM65-DM68,"DM65, DM650, DM651, DM652, DM653, DM654, DM658, DM658A, DM658B, DM659, DM659A, DM659B, DM66, DM660, DM661, DM661A, DM662, DM663, DM664, DM665, DM67, DM670, DM671, DM672, DM673, DM673A, DM674, DM678, DM679, DM68, DM680, DM680G, DM680H, DM688"
